id,nomor_rekening,nama_lengkap,tanggal_transaksi,jumlah_debit,keterangan
1,6762060453791294,Susanne Guwer,4/18/2025,688911.42,Healthy pasta alternative made from chickpeas
2,5100149303476900,Claudia Adess,11/17/2024,387842.78,Functional leggings designed for maximum comfort during workouts.
3,3589858638617781,Maurie Lammertz,7/26/2024,673681.89,"Savory pizza rolls filled with pepperoni and cheese, ready to bake and enjoy in minutes."
4,374288006198021,Eulalie Clewlow,3/2/2025,393698.32,Fresh baked chocolate chip muffins for breakfast.
5,3539225664788269,Padraig Buttress,8/11/2024,532056.95,Fragrant fried rice with authentic Thai basil and veggies.
6,4405073458055126,Nate Davidovich,6/25/2024,189546.1,Crispy and crunchy snack made from assorted vegetables.
7,5602216055807617,Dorella Igounet,6/21/2024,403461.59,RFID-blocking slim wallet for cards and cash.
8,3584973451332007,Juliana Aslott,8/7/2024,81650.06,A flavorful rice side dish seasoned with herbs and spices.
9,5602242777603733444,Merry Macconaghy,3/26/2025,162470.72,Comfortable and stretchy legging pants perfect for workouts or daily wear.
10,3572252668649923,Gretal Girton,3/11/2025,561188.29,Convenient charging stand for smartphones and devices.
11,3562860072289391,Englebert Worthington,8/7/2024,646619.88,Instant noodles with a spicy Thai sauce for quick meals.
12,3546629829309807,Viv Marwood,7/6/2024,516761.33,Lightweight and portable folding table for camping or picnics.
13,3565934386670831,Bartlett Claiton,7/29/2024,997923.89,"Rich spaghetti sauce, a perfect pasta sauce."
14,4911154085259492535,Shellysheldon Whichelow,5/26/2024,817717.22,Stylish bar stools with adjustable height and swivel features.
15,3585108411511155,Louise Richardet,2/25/2025,696826.64,Durable boots designed for outdoor hiking and activities.
16,36112121842976,Spencer Handrock,4/5/2025,480584.31,"Crispy baked falafel balls, perfect for salads"
17,4041595174525,Waylon Braddon,3/24/2025,936677.44,Portable car vacuum cleaner with strong suction.
18,5189616712990097,Giana Pauly,5/31/2024,93929.45,Premium olive oil infused with herbs for enhanced flavor.
19,3573592422577061,Halie Johnigan,4/28/2025,462396.15,Stylish wall art to enhance home decor.
20,633110315533324270,Bride Alishoner,1/28/2025,328174.49,Adjustable lamp with multiple brightness levels and colors.
21,633494550484510594,Mattie Laverenz,5/14/2024,44523.54,Practical cargo pants with lots of pockets for functionality.
22,675919864810187409,Deina Siggery,4/16/2025,976653.04,Multi-functional gloves for planting and digging without tools.
23,3588110271671134,Hogan Chantillon,7/15/2024,827672.88,"Rich and creamy tomato basil soup, perfect with a grilled cheese."
24,201807037880825,Cos Puller,8/31/2024,403788.24,"Shredded potatoes, perfect for breakfasts."
25,6382049120943529,Hollyanne Grills,4/22/2025,423296.06,Space-saving collapsible bottle for outdoor activities.
26,4508191802120622,Jackqueline Vedenichev,12/2/2024,938128.83,All-in-one kit for growing herbs in your kitchen.
27,3563593881777665,Stacia Simo,7/30/2024,492974.75,"Tender jackfruit cooked in BBQ sauce, a delicious plant-based alternative."
28,5018936771963646,Lesya Prahm,10/9/2024,202699.03,"Nutritious blend of wild rice and quinoa, perfect as a side dish."
29,374622385003990,Olimpia Guilaem,10/26/2024,509897.83,Creamy pistachio-flavored ice cream with real nuts.
30,201742999547890,Kipp Jinks,6/23/2024,779643.95,A blend of dried Italian herbs for cooking.
31,5305231418943447,Perrine O'Brogan,3/23/2025,775628.57,A flowy maxi dress perfect for both casual and semi-formal occasions.
32,3555531899124413,Brittne Wabersinke,8/17/2024,619352.95,Lightweight fishing rod suitable for beginners.
33,3586193973207912,Vivianna Cars,8/11/2024,379640.77,Frozen mix for quick berry smoothies.
34,4405744580186753,Abramo Yesson,11/26/2024,109373.73,Vacuum-insulated tumbler for beverages on the go.
35,560222938705905061,Stormy Winborn,7/21/2024,330903.09,"Creamy goat cheese infused with herbs and garlic, perfect for spreading on crackers."
36,63042819539293986,Simone Cudbird,2/11/2025,914163.45,Filters allergens and pollutants from the air for a healthier home.
37,3561944265109698,Perren MacGilmartin,6/8/2024,273666.22,Freshly baked artisan bread with a crisp crust and soft center.
38,3553888065850771,Kerby Coulthurst,7/23/2024,924014.57,Comfortable eye mask that includes noise-canceling ear plugs.
39,3572533728320377,Jeremiah Beal,11/19/2024,152118.89,Automatic can opener for easy meal prep.
40,3577429497756534,Normie Fear,6/25/2024,456126.85,Rich and creamy chocolate fudge ice cream for dessert.
41,3541628460256801,Cherye Schuricke,4/24/2025,999430.43,Crispy and sweet dried apple slices
42,3553773686081164,Ivonne Reaney,4/9/2025,269267.01,Nutty flavor perfect for pesto and salads.
43,201758249886714,Heinrik Cowdry,3/3/2025,501569.47,"Frozen zucchini slices coated in parmesan cheese, perfect for baking or frying."
44,4405218895469782,Nikkie Morrice,5/9/2025,658533.43,Leak-proof bottles for travel-sized toiletries.
45,4041379193642,Joya Woolhouse,12/16/2024,196591.42,Eco-friendly bamboo holder for toothbrushes.
46,201543428957738,Hilton Daintree,9/24/2024,772528.54,Compact scooper for easy waste clean-up during walks.
47,3555292152574030,Deny Armatage,11/6/2024,717704.14,"Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection."
48,201900463830248,Glynnis Kingswold,5/26/2024,484521.47,"Supportive sports bra designed for high-impact workouts, made with moisture-wicking fabric."
49,4041374889083848,Bert Ugolotti,3/12/2025,611796.04,"Canned chickpeas, perfect for hummus or salads."
50,30365264505596,Northrup Surby,11/29/2024,840727.66,Practical cargo pants with lots of pockets for functionality.
51,5010126003113594,Sam Oxe,7/6/2024,327741.4,Cook rice and steam vegetables simultaneously for healthy meals.
52,36504663362175,Norean Geeves,1/8/2025,73949.19,Microwaveable heating pad for muscle pain relief and relaxation.
53,4911740694268329991,Roobbie Wilcher,11/30/2024,726897.07,"A frozen meal featuring quinoa and mixed vegetables, ready to heat and eat."
54,3566675215527200,Debbi Clamp,3/1/2025,341575.41,Light and crunchy rice cakes with a variety of flavors.
55,30141240090171,Leontine Bullerwell,7/23/2024,581610.76,"No-bake energy balls made with oats, chocolate chips, and honey."
56,3564308906289839,Cristin Broschke,6/12/2024,836664.08,Stylish smartwatch with fitness tracking and notifications.
57,5602248594269090,Cher Binley,2/13/2025,893035.28,"A frozen pizza topped with fresh mozzarella, tomatoes, and basil."
58,3549881125753744,Lorne Pygott,3/29/2025,258871.66,Bluetooth-enabled key tracker to find lost items easily.
59,56022466982479429,Erhard Petrello,9/19/2024,193054.98,"Crispy fries tossed in truffle oil and parmesan, a gourmet snack."
60,3574247576748641,Charlotta Ades,1/14/2025,708612.1,Crispy apple chips drizzled with caramel for a sweet treat.
61,3552134666088136,Starlin Stranahan,7/11/2024,64587.09,"Sweet and savory carrots glazed in honey, perfect as a side dish."
62,3557416581292082,Langsdon Lewens,2/27/2025,969081.66,Set of two yoga blocks for increased stability and support.
63,675921896630106611,Briney Marsters,5/27/2024,841543.52,32GB USB flash drive with fast data transfer speeds.
64,3556501111487939,Neilla Gepson,3/16/2025,406086.21,Frozen mix of colorful stir-fry veggies.
65,3572844975756662,Shoshana Caesman,7/20/2024,647617.33,An elegant jumpsuit that can be dressed up or down.
66,3552916524238113,Austin Seviour,8/6/2024,187948.92,Satisfy your sweet tooth with these dark chocolate-covered raisins.
67,5610880767989987,Mile Ketton,3/5/2025,792421.98,"Ready-to-eat avocado slices, perfect for tacos."
68,3574515859949171,Keir Pigden,12/15/2024,968303.26,"Creamy ranch dressing, perfect for salads and dips."
69,5002350415722152,Laurella Gunston,12/27/2024,213220.9,Sweet and crunchy roasted almonds.
70,3545326426855396,Buiron Kilbey,12/11/2024,626258.35,"Chickpeas mixed with fresh vegetables and herbs, a nutritious snack or salad."
71,3566976573745065,Corabel Skelton,2/19/2025,767411.67,Automatic can opener for easy meal prep.
72,4017959000436048,Arlinda Blanchflower,2/20/2025,813860.06,"Soft pretzel bites, perfect for dipping in mustard or cheese sauce."
73,4917539671551191,Wildon Kencott,7/29/2024,138097.47,"Layers of pasta, veggies, and cheese baked to perfection."
74,5221143233310143,Kristofor Millis,6/16/2024,619187.73,"Crispy and chewy granola bars, perfect for on-the-go."
75,5610984009132685,Rowena Linford,2/10/2025,899030.14,Manual pasta maker for homemade pasta.
76,5436428400089799,Livy Janda,6/1/2024,660029.11,Set of flexible molds for baking cakes and pastries.
77,3546703453983227,Randi Endricci,4/17/2025,829111.63,Comprehensive tool set for gardening enthusiasts.
78,5602231937196709,Dara Bonafant,9/13/2024,960742.2,Complete kit for starting your own organic garden.
79,201783445721119,Eamon Batecok,8/11/2024,199096.86,"A mix of wild rice with herbs and spices, ready to serve."
80,6767351468485674,Shawn Buist,6/6/2024,96153.75,Stylish cap to complete your athletic look.
81,5002350145774432,Morganne Jahns,2/12/2025,181030.12,Sand-resistant and compact for outdoor and beach use.
82,5439935278527210,Caddric Mahony,8/18/2024,400300.98,Instant pressure cooker with multiple cooking settings.
83,3566944929041373,Nedi Fosdyke,12/9/2024,874468.34,Durable high-top leather boots for the stylish adventurer.
84,3541907257625612,Felic Denman,12/11/2024,958796.51,Stabilizer for smooth video recording with smartphones.
85,5602243813302566,Moll Hutchens,3/25/2025,577789.97,"Delicious pretzel bites with a sweet honey mustard flavor, perfect for dipping."
86,374283305750556,Helen-elizabeth Penylton,11/2/2024,410519.15,A nutritious salad with quinoa and black beans
87,30440176290106,Cristy Turbefield,10/18/2024,890947.83,Durable tarp for outdoor camping and protection.
88,4175004738885444,Maurie Colrein,10/16/2024,355651.83,Flexible molds perfect for baking cakes and pastries.
89,4017954083416,Wood Weare,1/5/2025,542339.51,Everything you need to make melt-in-your-mouth cinnamon rolls at home.
90,4405935706702362,Vivien Baines,12/5/2024,421060.26,Soft hamburger buns made with whole grains.
91,6759976204592625217,Cyndi Larenson,6/29/2024,386792.73,"Thin rice noodles, ideal for stir-fries and soups."
92,3578368970245251,Caryl MacCaughey,3/15/2025,654457.34,DIY LED strip lights with remote control.
93,4903257606514345102,Corrinne Bridges,2/10/2025,894502.89,Creamy peach-flavored yogurt with real fruit.
94,5363017736883541,Rubin Haselup,4/9/2025,844982.28,Seat belt attachment to keep dogs safe during car rides.
95,3541192856207308,Claudius Claris,5/6/2025,449982.97,Portable solar shower for camping and outdoor use.
96,3552871772465928,Jade Menci,6/28/2024,688601.19,"Nutritious protein bar with cherry and almond flavor, great for on-the-go."
97,5602227264606112,Hiram Haly,3/11/2025,33708.87,Bottle that allows you to infuse your water with fruits.
