id1,id2,tgl_transaksi,jumlah_debit,jumlah_kredit
1,5602219009751139,8/3/2005,687288.3,861926.28
2,5602219009751139,9/5/2010,679344.59,257723.93
3,5602219009751139,8/9/2021,36080.54,150179.07
4,5602219009751139,3/3/2015,131193.45,16952.94
5,5602219009751139,7/12/2009,793478.31,214289.04
6,5602219009751139,12/27/2014,190417.1,848396.03
7,5602219009751139,12/8/2011,887324.14,493343.42
8,5602219009751139,10/22/2021,36807.59,873422.02
9,5602219009751139,11/11/2014,548326.51,800104.54
10,5602219009751139,4/16/2004,949103.12,99233.64
11,5602219009751139,2/18/2016,146195.41,31936.96
12,5602219009751139,3/7/2005,402312.77,364772.88
13,5602219009751139,12/14/2002,93963.16,411751.59
14,5602219009751139,6/8/2017,74539.39,215478.42
15,5602219009751139,2/10/2012,350561.44,744326.47
16,5602219009751139,11/5/2015,139157.89,343875.34
17,5602219009751139,12/27/2008,654260.7,902842.69
18,5602219009751139,4/23/2007,34027.94,720525.96
19,5602219009751139,5/11/2008,919291.25,754903.04
20,5602219009751139,8/10/2008,656662.04,127267.87
21,5602219009751139,2/12/2021,301328.25,903920.26
22,5602219009751139,8/12/2013,682404.23,347828.11
23,5602219009751139,1/28/2021,165470.9,259623.56
24,5602219009751139,11/7/2020,354574.33,637478.94
25,5602219009751139,8/28/2021,201009.59,17774.75
26,5602219009751139,1/5/2021,337941.75,722822.47
27,5602219009751139,11/5/2013,352274.27,214246.21
28,5602219009751139,3/12/2001,425721.76,23774.23
29,5602219009751139,2/26/2017,948233.87,727368.02
30,5602219009751139,11/16/2020,614502.42,38735.73
31,5602219009751139,2/10/2014,367038.61,916377.23
32,5602219009751139,8/30/2019,815138.08,370282.93
33,5602219009751139,11/7/2017,768691.35,375987.78
34,5602219009751139,11/7/2007,286784.77,513707.91
35,5602219009751139,2/7/2003,260834.64,707540.85
36,5602219009751139,10/16/2001,936952.46,419548.19
37,5602219009751139,8/17/2016,121945.14,934161.0
38,5602219009751139,9/26/2012,611541.81,435005.19
39,5602219009751139,7/28/2020,993128.88,301720.63
40,5602219009751139,7/9/2013,373106.63,383196.35
41,5602219009751139,10/13/2002,291982.27,649877.67
42,5602219009751139,6/20/2000,6706.44,133663.87
43,5602219009751139,1/14/2010,919994.76,864650.59
44,5602219009751139,4/7/2000,298702.31,801909.41
45,5602219009751139,2/22/2007,105165.43,634692.65
46,5602219009751139,4/23/2019,525652.69,608895.56
47,5602219009751139,1/28/2014,676108.32,793122.25
48,5602219009751139,8/16/2008,449662.46,576931.79
49,5602219009751139,3/27/2017,157126.47,171571.55
50,5602219009751139,9/26/2014,710955.43,835103.68
